fecha,id_transaccion,cliente,categoria,producto,moneda,monto,cantidad,metodo_pago,origen,pais,ciudad,bool_col,is_outlier,outlier_score
2025-01-01,IG-20250101-0122,cli_044,Ropa,Polera Oversize,CLP,"$50.886,00",2,MercadoPago,IG Ads,CL,La Serena,true,false,
2025-01-02,IG-20250102-0018,cli_022,Electrónica,Audífonos BT,CLP,$54.702,3,Tarjeta,Orgánico,CL,Antofagasta,true,false,
2025-01-02,IG-20250102-0064,cli_031,Accesorios,Collar Luna,CLP,"$13.287,00",1,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-01-03,IG-20250103-0167,cli_013,Hogar,Taza Cerámica,CLP,$16.168,1,Tarjeta,IG Ads,CL,Valparaíso,true,false,
2025-01-04,IG-20250104-0068,cli_020,Hogar,Taza Cerámica,CLP,$14.249,1,MercadoPago,Orgánico,CL,Temuco,false,false,
2025-01-05,IG-20250105-0123,cli_035,Accesorios,Aros Minimal,CLP,"$10.719,00",1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-01-05,IG-20250105-0103,cli_013,Hogar,Taza Cerámica,CLP,$28.626,2,Tarjeta,IG Ads,CL,Santiago,false,false,
2025-01-08,IG-20250108-0056,cli_075,Ropa,Polera Oversize,USD,"USD 57,77",2,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-09,IG-20250109-0048,cli_015,Hogar,Velas Aromáticas,CLP,$17.840,1,Transferencia,Orgánico,CL,Santiago,false,false,
2025-01-09,IG-20250109-0091,cli_072,Hogar,Cojín Decor,CLP,$16.811,1,Transferencia,Orgánico,CL,La Serena,true,false,
2025-01-12,IG-20250112-0108,cli_002,Electrónica,Audífonos BT,CLP,"$16.879,00",1,MercadoPago,Orgánico,CL,Concepción,false,false,
2025-01-13,IG-20250113-0143,cli_030,Electrónica,Powerbank 10k,USD,"USD 56,29",3,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-01-14,IG-20250114-0073,cli_082,Ropa,Blazer Casual,CLP,$67.212,3,Transferencia,IG Ads,CL,Rancagua,false,false,
2025-01-14,IG-20250114-0047,cli_078,Electrónica,Mini Trípode,CLP,"$17.136,00",1,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-01-15,IG-20250115-0031,cli_062,Belleza,Serum Vit C,CLP,"$22.869,00",3,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-15,IG-20250115-0086,cli_039,Ropa,Pantalón Cargo,CLP,$72.777,3,Transferencia,Orgánico,CL,Rancagua,false,false,
2025-01-15,IG-20250115-0076,cli_073,Electrónica,Mini Trípode,CLP,"$56.010,00",3,Transferencia,Orgánico,CL,Temuco,false,false,
2025-01-15,IG-20250115-0003,cli_067,Electrónica,Mini Trípode,CLP,$17.449,1,Tarjeta,IG Ads,CL,Rancagua,false,false,
2025-01-15,IG-20250115-0128,cli_013,Ropa,Blazer Casual,CLP,$24.663,1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-01-18,IG-20250118-0043,cli_023,Accesorios,Aros Minimal,CLP,"$27.890,00",2,Tarjeta,Orgánico,CL,Rancagua,false,false,
2025-01-21,IG-20250121-0023,cli_034,Ropa,Hoodie Unisex,CLP,"$73.908,00",3,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-01-21,IG-20250121-0040,cli_047,Belleza,Serum Vit C,CLP,$9.640,1,Transferencia,IG Ads,CL,Rancagua,true,false,
2025-01-21,IG-20250121-0006,cli_072,Electrónica,Mini Trípode,CLP,"$15.588,00",1,MercadoPago,IG Ads,CL,La Serena,true,false,
2025-01-22,IG-20250122-0026,cli_052,Ropa,Hoodie Unisex,CLP,$48.856,2,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-01-24,IG-20250124-0081,cli_073,Accesorios,Pulsera Acero,CLP,"$10.730,00",1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-01-27,IG-20250127-0126,cli_043,Belleza,Mascarilla Facial,CLP,$12.173,1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-01-27,IG-20250127-0164,cli_011,Electrónica,Powerbank 10k,CLP,$20.073,1,Tarjeta,Influencer,CL,Valparaíso,false,false,
2025-01-28,IG-20250128-0154,cli_063,Hogar,Velas Aromáticas,CLP,$14.629,1,MercadoPago,Orgánico,CL,Antofagasta,true,false,
2025-01-28,IG-20250128-0105,cli_034,Hogar,Cojín Decor,CLP,$17.880,1,Tarjeta,IG Ads,CL,Antofagasta,false,false,
2025-01-28,IG-20250128-0153,cli_007,Ropa,Pantalón Cargo,CLP,$68.616,3,Transferencia,IG Ads,CL,La Serena,true,false,
2025-01-28,IG-20250128-0147,cli_006,Electrónica,Mini Trípode,CLP,$40.150,2,Transferencia,IG Ads,CL,Concepción,false,false,
2025-01-29,IG-20250129-0141,cli_036,Accesorios,Anillo Ajustable,CLP,$22.588,2,Tarjeta,Orgánico,CL,Concepción,true,false,
2025-01-30,IG-20250130-0158,cli_017,Accesorios,Anillo Ajustable,CLP,$9.731,1,MercadoPago,IG Ads,CL,Santiago,false,false,
2025-02-02,IG-20250202-0101,cli_017,Hogar,Organizador Acrílico,CLP,$15.681,1,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-02-02,IG-20250202-0110,cli_040,Belleza,Mascarilla Facial,CLP,$28.317,3,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-02-04,IG-20250204-0058,cli_014,Belleza,Labial Mate,CLP,$10.202,1,Transferencia,Orgánico,CL,Concepción,false,false,
2025-02-04,IG-20250204-0118,cli_026,Electrónica,Mini Trípode,CLP,$15.864,1,MercadoPago,Orgánico,CL,La Serena,true,false,
2025-02-05,IG-20250205-0142,cli_008,Ropa,Polera Oversize,CLP,"$21.831,00",1,Tarjeta,IG Ads,CL,Temuco,false,false,
2025-02-06,IG-20250206-0114,cli_019,Accesorios,Aros Minimal,CLP,$42.840,3,Tarjeta,IG Ads,CL,Rancagua,true,false,
2025-02-07,IG-20250207-0021,cli_032,Electrónica,Audífonos BT,CLP,"$19.490,00",1,Transferencia,IG Ads,CL,Concepción,false,false,
2025-02-09,IG-20250209-0077,cli_041,Electrónica,Powerbank 10k,CLP,$34.224,2,Tarjeta,Orgánico,CL,Temuco,true,false,
2025-02-10,IG-20250210-0104,cli_056,Ropa,Polera Oversize,CLP,$46.344,2,Transferencia,Influencer,CL,La Serena,false,false,
2025-02-10,IG-20250210-0084,cli_010,Electrónica,Luz Selfie,CLP,$59.166,3,MercadoPago,IG Ads,CL,Rancagua,true,false,
2025-02-11,IG-20250211-0130,cli_033,Belleza,Crema Hidratante,CLP,"$10.505,00",1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-02-13,IG-20250213-0156,cli_082,Electrónica,Audífonos BT,CLP,$35.864,2,MercadoPago,Orgánico,CL,Antofagasta,false,false,
2025-02-13,IG-20250213-0071,cli_032,Belleza,Labial Mate,CLP,$9.980,1,MercadoPago,Orgánico,CL,Valparaíso,false,false,
2025-02-14,IG-20250214-0150,cli_041,Accesorios,Collar Luna,CLP,$10.453,1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-02-14,IG-20250214-0087,cli_042,Ropa,Pantalón Cargo,CLP,$22.303,1,Tarjeta,IG Ads,CL,Valparaíso,false,false,
2025-02-17,IG-20250217-0075,cli_024,Ropa,Blazer Casual,CLP,$25.443,1,MercadoPago,Orgánico,CL,Santiago,true,false,
2025-02-17,IG-20250217-0111,cli_046,Accesorios,Collar Luna,CLP,$11.385,1,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-02-18,IG-20250218-0028,cli_007,Belleza,Serum Vit C,CLP,$8.707,1,Transferencia,Orgánico,CL,Temuco,true,false,
2025-02-19,IG-20250219-0061,cli_038,Belleza,Mascarilla Facial,CLP,$33.627,3,Tarjeta,IG Ads,CL,Antofagasta,true,false,
2025-02-20,IG-20250220-0033,cli_003,Hogar,Velas Aromáticas,USD,"USD 27,70",2,Tarjeta,Orgánico,CL,Rancagua,true,false,
2025-02-20,IG-20250220-0173,cli_003,Ropa,Hoodie Unisex,CLP,$22.083,1,Tarjeta,IG Ads,CL,Antofagasta,true,false,
2025-02-20,IG-20250220-0038,cli_017,Belleza,Labial Mate,USD,"USD 41,23",3,Tarjeta,Orgánico,CL,Antofagasta,false,false,
2025-02-21,IG-20250221-0135,cli_031,Accesorios,Aros Minimal,CLP,$29.386,2,Tarjeta,IG Ads,CL,Rancagua,false,false,
2025-02-22,IG-20250222-0080,cli_054,Belleza,Crema Hidratante,CLP,$9.275,1,Tarjeta,Influencer,CL,Valparaíso,true,false,
2025-02-22,IG-20250222-0050,cli_052,Ropa,Hoodie Unisex,CLP,$74.814,3,Transferencia,Orgánico,CL,Valparaíso,true,false,
2025-02-22,IG-20250222-0017,cli_058,Belleza,Serum Vit C,CLP,"$12.073,00",1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-02-23,IG-20250223-0069,cli_030,Hogar,Organizador Acrílico,CLP,$14.555,1,Transferencia,Orgánico,CL,Antofagasta,false,false,
2025-02-23,IG-20250223-0066,cli_035,Accesorios,Aros Minimal,USD,"USD 10,49",1,Tarjeta,IG Ads,CL,Rancagua,false,false,
2025-02-24,IG-20250224-0035,cli_013,Belleza,Serum Vit C,CLP,"$27.984,00",3,Tarjeta,Influencer,CL,Temuco,true,false,
2025-02-27,IG-20250227-0025,cli_062,Accesorios,Aros Minimal,CLP,$15.221,1,Transferencia,Orgánico,CL,La Serena,false,false,
2025-02-28,IG-20250228-0029,cli_017,Ropa,Polera Oversize,CLP,$49.952,2,MercadoPago,IG Ads,CL,Rancagua,false,false,
2025-02-28,IG-20250228-0176,cli_015,Ropa,Pantalón Cargo,CLP,$24.961,1,MercadoPago,IG Ads,CL,Temuco,false,false,
2025-03-01,IG-20250301-0046,cli_061,Accesorios,Anillo Ajustable,CLP,$45.903,3,Tarjeta,IG Ads,CL,Santiago,false,false,
2025-03-03,IG-20250303-0113,cli_058,Electrónica,Powerbank 10k,CLP,$19.599,1,Tarjeta,IG Ads,CL,Temuco,true,false,
2025-03-03,IG-20250303-0151,cli_013,Hogar,Organizador Acrílico,CLP,$49.884,3,Tarjeta,Orgánico,CL,Rancagua,false,false,
2025-03-03,IG-20250303-0171,cli_016,Ropa,Pantalón Cargo,CLP,$23.669,1,Transferencia,Orgánico,CL,Concepción,false,false,
2025-03-04,IG-20250304-0133,cli_015,Electrónica,Mini Trípode,CLP,$49.359,3,MercadoPago,Orgánico,CL,La Serena,true,false,
2025-03-04,IG-20250304-0095,cli_048,Ropa,Polera Oversize,CLP,"$51.052,00",2,Tarjeta,Influencer,CL,Valparaíso,true,false,
2025-03-05,IG-20250305-0036,cli_033,Electrónica,Audífonos BT,CLP,$58.944,3,Transferencia,Influencer,CL,Temuco,false,false,
2025-03-06,IG-20250306-0088,cli_016,Ropa,Polera Oversize,CLP,"$51.948,00",2,MercadoPago,IG Ads,CL,La Serena,true,false,
2025-03-07,IG-20250307-0148,cli_030,Electrónica,Powerbank 10k,CLP,$19.984,1,Transferencia,IG Ads,CL,Temuco,true,false,
2025-03-12,IG-20250312-0145,cli_030,Belleza,Serum Vit C,CLP,"$8.502,00",1,Tarjeta,Orgánico,CL,Antofagasta,false,false,
2025-03-12,IG-20250312-0090,cli_043,Hogar,Taza Cerámica,USD,"USD 18,60",1,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-03-13,IG-20250313-0107,cli_025,Accesorios,Collar Luna,CLP,$20.020,2,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-03-13,IG-20250313-0005,cli_069,Accesorios,Anillo Ajustable,CLP,"$11.745,00",1,MercadoPago,Orgánico,CL,Antofagasta,false,false,
2025-03-14,IG-20250314-0041,cli_079,Electrónica,Powerbank 10k,CLP,$16.848,1,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-03-16,IG-20250316-0159,cli_008,Electrónica,Powerbank 10k,CLP,"$63.075,00",3,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-03-16,IG-20250316-0009,cli_064,Electrónica,Luz Selfie,CLP,$20.801,1,Tarjeta,IG Ads,CL,Santiago,true,false,
2025-03-22,IG-20250322-0059,cli_051,Accesorios,Anillo Ajustable,CLP,$15.057,1,Tarjeta,Influencer,CL,Rancagua,false,false,
2025-03-22,IG-20250322-0097,cli_048,Hogar,Cojín Decor,USD,"USD 35,32",2,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-03-23,IG-20250323-0078,cli_040,Ropa,Pantalón Cargo,CLP,$74.886,3,Transferencia,IG Ads,CL,Valparaíso,false,false,
2025-03-25,IG-20250325-0157,cli_034,Ropa,Blazer Casual,CLP,"$68.847,00",3,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-03-25,IG-20250325-0052,cli_075,Hogar,Organizador Acrílico,CLP,"$18.050,00",1,Tarjeta,Influencer,CL,La Serena,false,false,
2025-03-27,IG-20250327-0146,cli_023,Accesorios,Aros Minimal,CLP,$11.986,1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-03-29,IG-20250329-0019,cli_069,Ropa,Hoodie Unisex,CLP,$53.796,2,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-03-29,IG-20250329-0092,cli_005,Belleza,Serum Vit C,USD,"USD 14,07",1,MercadoPago,IG Ads,CL,Temuco,true,false,
2025-03-29,IG-20250329-0010,cli_006,Hogar,Taza Cerámica,CLP,"$39.288,00",3,Transferencia,Influencer,CL,Concepción,false,false,
2025-03-30,IG-20250330-0089,cli_068,Ropa,Hoodie Unisex,CLP,$25.984,1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-03-30,IG-20250330-0027,cli_042,Accesorios,Aros Minimal,CLP,"$41.460,00",3,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-03-30,IG-20250330-0045,cli_046,Ropa,Hoodie Unisex,CLP,$23.786,1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-03-31,IG-20250331-0049,cli_068,Ropa,Polera Oversize,CLP,"$26.208,00",1,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-03-31,IG-20250331-0129,cli_023,Belleza,Serum Vit C,CLP,$10.262,1,MercadoPago,Orgánico,CL,Concepción,false,false,
2025-04-02,IG-20250402-0053,cli_070,Belleza,Serum Vit C,CLP,"$12.144,00",1,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-04-02,IG-20250402-0161,cli_083,Ropa,Pantalón Cargo,CLP,"$70.581,00",3,Transferencia,Orgánico,CL,Rancagua,true,false,
2025-04-03,IG-20250403-0002,cli_070,Ropa,Blazer Casual,CLP,$51.544,2,Tarjeta,Orgánico,CL,Temuco,true,false,
2025-04-05,IG-20250405-0074,cli_011,Belleza,Crema Hidratante,CLP,$16.588,2,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-04-06,IG-20250406-0134,cli_008,Belleza,Labial Mate,CLP,$19.254,2,Transferencia,IG Ads,CL,Valparaíso,true,false,
2025-04-06,IG-20250406-0136,cli_047,Accesorios,Pulsera Acero,CLP,"$26.932,00",2,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-04-06,IG-20250406-0179,cli_060,Accesorios,Anillo Ajustable,USD,"USD 29,90",2,Transferencia,IG Ads,CL,Santiago,true,false,
2025-04-09,IG-20250409-0115,cli_056,Electrónica,Audífonos BT,CLP,$62.448,3,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-04-10,IG-20250410-0012,cli_023,Electrónica,Powerbank 10k,CLP,$19.831,1,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-04-11,IG-20250411-0119,cli_014,Accesorios,Aros Minimal,CLP,"$13.418,00",1,Tarjeta,IG Ads,CL,Rancagua,true,false,
2025-04-13,IG-20250413-0168,cli_061,Ropa,Polera Oversize,CLP,"$79.917,00",3,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-04-13,IG-20250413-0000,cli_062,Electrónica,Luz Selfie,CLP,$17.126,1,Tarjeta,Orgánico,CL,Santiago,true,false,
2025-04-13,IG-20250413-0125,cli_050,Ropa,Blazer Casual,CLP,"$80.901,00",3,Transferencia,Orgánico,CL,Valparaíso,true,false,
2025-04-13,IG-20250413-0007,cli_080,Ropa,Pantalón Cargo,CLP,"$79.203,00",3,Tarjeta,IG Ads,CL,Antofagasta,false,false,
2025-04-14,IG-20250414-0062,cli_036,Belleza,Labial Mate,CLP,$10.409,1,Transferencia,IG Ads,CL,La Serena,false,false,
2025-04-14,IG-20250414-0117,cli_066,Ropa,Blazer Casual,CLP,"$25.771,00",1,MercadoPago,Orgánico,CL,Rancagua,true,false,
2025-04-14,IG-20250414-0013,cli_024,Belleza,Serum Vit C,CLP,$19.716,2,Tarjeta,Orgánico,CL,Antofagasta,false,false,
2025-04-16,IG-20250416-0067,cli_051,Ropa,Blazer Casual,CLP,$153.566,1,Tarjeta,Orgánico,CL,Temuco,false,true,3.12
2025-04-17,IG-20250417-0004,cli_050,Ropa,Polera Oversize,CLP,$22.113,1,Tarjeta,IG Ads,CL,Rancagua,false,false,
2025-04-18,IG-20250418-0155,cli_002,Hogar,Cojín Decor,CLP,$18.032,1,Tarjeta,Orgánico,CL,Temuco,true,false,
2025-04-18,IG-20250418-0034,cli_058,Electrónica,Luz Selfie,USD,"USD 21,91",1,Tarjeta,Orgánico,CL,La Serena,true,false,
2025-04-21,IG-20250421-0079,cli_054,Accesorios,Anillo Ajustable,CLP,"$28.914,00",3,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-04-21,IG-20250421-0054,cli_077,Electrónica,Mini Trípode,CLP,"$51.489,00",3,Tarjeta,Orgánico,CL,Concepción,true,false,
2025-04-26,IG-20250426-0166,cli_018,Ropa,Pantalón Cargo,CLP,$46.498,2,Transferencia,Orgánico,CL,Antofagasta,false,false,
2025-04-27,IG-20250427-0011,cli_033,Ropa,Pantalón Cargo,USD,"USD 28,35",1,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-04-28,IG-20250428-0177,cli_070,Accesorios,Collar Luna,CLP,"$14.507,00",1,MercadoPago,IG Ads,CL,Santiago,false,false,
2025-05-01,IG-20250501-0165,cli_084,Hogar,Velas Aromáticas,CLP,"$49.668,00",3,Transferencia,Orgánico,CL,Antofagasta,true,false,
2025-05-01,IG-20250501-0163,cli_062,Belleza,Serum Vit C,CLP,$9.911,1,MercadoPago,IG Ads,CL,Rancagua,false,false,
2025-05-02,IG-20250502-0008,cli_048,Electrónica,Audífonos BT,CLP,"$48.156,00",3,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-05-03,IG-20250503-0102,cli_052,Hogar,Organizador Acrílico,CLP,"$14.996,00",1,Tarjeta,Orgánico,CL,Antofagasta,false,false,
2025-05-04,IG-20250504-0083,cli_062,Electrónica,Luz Selfie,CLP,$20.698,1,Transferencia,IG Ads,CL,Concepción,false,false,
2025-05-04,IG-20250504-0131,cli_072,Ropa,Hoodie Unisex,CLP,$53.484,2,Tarjeta,Orgánico,CL,Valparaíso,false,false,
2025-05-08,IG-20250508-0160,cli_043,Accesorios,Collar Luna,CLP,"$28.911,00",3,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-05-09,IG-20250509-0093,cli_017,Belleza,Mascarilla Facial,CLP,"$9.866,00",1,Transferencia,Orgánico,CL,Concepción,false,false,
2025-05-09,IG-20250509-0162,cli_081,Accesorios,Anillo Ajustable,USD,"USD 11,00",1,Transferencia,Orgánico,CL,Rancagua,true,false,
2025-05-10,IG-20250510-0051,cli_075,Ropa,Blazer Casual,CLP,$21.732,1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-05-10,IG-20250510-0022,cli_074,Belleza,Crema Hidratante,CLP,$10.036,1,Tarjeta,Orgánico,CL,Concepción,true,false,
2025-05-11,IG-20250511-0037,cli_001,Accesorios,Aros Minimal,CLP,"$46.437,00",3,Tarjeta,IG Ads,CL,Antofagasta,false,false,
2025-05-11,IG-20250511-0015,cli_053,Ropa,Blazer Casual,CLP,$67.443,3,Tarjeta,IG Ads,CL,La Serena,false,false,
2025-05-11,IG-20250511-0121,cli_005,Belleza,Serum Vit C,CLP,$17.594,2,Tarjeta,Influencer,CL,La Serena,false,false,
2025-05-12,IG-20250512-0063,cli_013,Hogar,Organizador Acrílico,CLP,$16.021,1,Tarjeta,Orgánico,CL,Temuco,false,false,
2025-05-12,IG-20250512-0044,cli_050,Electrónica,Luz Selfie,CLP,$40.534,2,Tarjeta,Orgánico,CL,Antofagasta,true,false,
2025-05-12,IG-20250512-0137,cli_072,Ropa,Hoodie Unisex,CLP,$25.173,1,Tarjeta,IG Ads,CL,Santiago,false,false,
2025-05-14,IG-20250514-0152,cli_034,Accesorios,Collar Luna,CLP,$14.568,1,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-05-14,IG-20250514-0065,cli_054,Accesorios,Anillo Ajustable,CLP,$38.976,3,MercadoPago,IG Ads,CL,Rancagua,true,false,
2025-05-15,IG-20250515-0106,cli_053,Accesorios,Aros Minimal,CLP,$31.347,3,Tarjeta,Orgánico,CL,Rancagua,false,false,
2025-05-15,IG-20250515-0039,cli_072,Accesorios,Collar Luna,CLP,"$13.853,00",1,Transferencia,Orgánico,CL,Rancagua,false,false,
2025-05-16,IG-20250516-0098,cli_058,Hogar,Taza Cerámica,CLP,"$15.998,00",1,Tarjeta,IG Ads,CL,Santiago,true,false,
2025-05-16,IG-20250516-0094,cli_029,Ropa,Pantalón Cargo,CLP,$22.908,1,Tarjeta,IG Ads,CL,Santiago,false,false,
2025-05-17,IG-20250517-0170,cli_027,Belleza,Mascarilla Facial,CLP,$124.083,1,Tarjeta,IG Ads,CL,Valparaíso,false,true,5.85
2025-05-17,IG-20250517-0127,cli_080,Electrónica,Mini Trípode,CLP,"$39.046,00",2,Tarjeta,IG Ads,CL,Temuco,true,false,
2025-05-19,IG-20250519-0096,cli_058,Electrónica,Mini Trípode,CLP,"$50.406,00",3,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-05-22,IG-20250522-0124,cli_050,Belleza,Mascarilla Facial,CLP,"$8.408,00",1,MercadoPago,Orgánico,CL,Antofagasta,true,false,
2025-05-23,IG-20250523-0139,cli_032,Ropa,Pantalón Cargo,CLP,$22.259,1,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-05-26,IG-20250526-0070,cli_038,Electrónica,Audífonos BT,CLP,$20.385,1,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-05-30,IG-20250530-0016,cli_030,Belleza,Serum Vit C,CLP,$8.230,1,Transferencia,Orgánico,CL,Concepción,true,false,
2025-05-31,IG-20250531-0138,cli_055,Electrónica,Audífonos BT,CLP,$16.120,1,Tarjeta,Orgánico,CL,Valparaíso,true,false,
2025-05-31,IG-20250531-0112,cli_032,Hogar,Cojín Decor,CLP,$35.854,2,Transferencia,IG Ads,CL,Santiago,false,false,
2025-06-01,IG-20250601-0175,cli_063,Ropa,Hoodie Unisex,CLP,$22.509,1,Tarjeta,IG Ads,CL,La Serena,true,false,
2025-06-01,IG-20250601-0014,cli_066,Hogar,Cojín Decor,CLP,$42.615,3,Transferencia,Orgánico,CL,Rancagua,true,false,
2025-06-03,IG-20250603-0082,cli_044,Accesorios,Pulsera Acero,CLP,"$27.160,00",2,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-06-04,IG-20250604-0169,cli_058,Accesorios,Pulsera Acero,CLP,"$14.833,00",1,Transferencia,IG Ads,CL,Santiago,false,false,
2025-06-06,IG-20250606-0085,cli_039,Belleza,Labial Mate,CLP,$10.157,1,Tarjeta,IG Ads,CL,Concepción,true,false,
2025-06-07,IG-20250607-0020,cli_034,Hogar,Organizador Acrílico,CLP,"$13.505,00",1,Tarjeta,IG Ads,CL,La Serena,true,false,
2025-06-09,IG-20250609-0178,cli_064,Belleza,Mascarilla Facial,CLP,$10.468,1,Transferencia,IG Ads,CL,Antofagasta,false,false,
2025-06-09,IG-20250609-0144,cli_055,Ropa,Hoodie Unisex,CLP,"$77.799,00",3,Tarjeta,IG Ads,CL,La Serena,true,false,
2025-06-10,IG-20250610-0024,cli_073,Ropa,Hoodie Unisex,CLP,$76.023,3,MercadoPago,Orgánico,CL,Concepción,false,false,
2025-06-11,IG-20250611-0072,cli_008,Electrónica,Mini Trípode,CLP,$19.473,1,Transferencia,Influencer,CL,Valparaíso,false,false,
2025-06-11,IG-20250611-0109,cli_041,Belleza,Crema Hidratante,CLP,$10.607,1,Tarjeta,Orgánico,CL,Concepción,false,false,
2025-06-12,IG-20250612-0100,cli_071,Accesorios,Pulsera Acero,CLP,"$43.722,00",3,Tarjeta,IG Ads,CL,Valparaíso,true,false,
2025-06-12,IG-20250612-0099,cli_012,Belleza,Serum Vit C,CLP,$173.406,1,Tarjeta,Orgánico,CL,Rancagua,false,true,5.23
2025-06-13,IG-20250613-0060,cli_036,Belleza,Labial Mate,CLP,$12.863,1,Tarjeta,Orgánico,CL,Antofagasta,false,false,
2025-06-14,IG-20250614-0172,cli_037,Accesorios,Pulsera Acero,CLP,"$27.546,00",2,Tarjeta,IG Ads,CL,Temuco,true,false,
2025-06-16,IG-20250616-0042,cli_010,Hogar,Organizador Acrílico,CLP,$18.059,1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-06-19,IG-20250619-0030,cli_039,Ropa,Pantalón Cargo,CLP,$27.269,1,Tarjeta,Orgánico,CL,Temuco,true,false,
2025-06-19,IG-20250619-0149,cli_082,Ropa,Blazer Casual,CLP,$43.168,2,Transferencia,Orgánico,CL,Valparaíso,false,false,
2025-06-20,IG-20250620-0140,cli_039,Ropa,Polera Oversize,CLP,"$27.189,00",1,Transferencia,Influencer,CL,Santiago,false,false,
2025-06-21,IG-20250621-0055,cli_073,Ropa,Polera Oversize,CLP,$25.167,1,Tarjeta,Orgánico,CL,Santiago,false,false,
2025-06-21,IG-20250621-0174,cli_022,Electrónica,Mini Trípode,CLP,$35.112,2,Transferencia,Influencer,CL,Antofagasta,true,false,
2025-06-21,IG-20250621-0116,cli_024,Belleza,Serum Vit C,CLP,$18.404,2,Transferencia,IG Ads,CL,La Serena,false,false,
2025-06-24,IG-20250624-0120,cli_076,Ropa,Blazer Casual,CLP,$22.119,1,MercadoPago,Orgánico,CL,La Serena,false,false,
2025-06-24,IG-20250624-0032,cli_075,Ropa,Blazer Casual,USD,"USD 23,94",1,Tarjeta,IG Ads,CL,La Serena,true,false,
2025-06-24,IG-20250624-0057,cli_030,Belleza,Crema Hidratante,CLP,$10.111,1,Tarjeta,IG Ads,CL,Concepción,false,false,
2025-06-28,IG-20250628-0132,cli_070,Electrónica,Luz Selfie,CLP,"$16.504,00",1,Transferencia,Influencer,CL,Temuco,true,false,
2025-06-29,IG-20250629-0001,cli_001,Electrónica,Powerbank 10k,CLP,"$38.000,00",2,Transferencia,Orgánico,CL,Concepción,true,false,
